symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
NASDX,2017-06-09 00:00:00+00:00,14.64,14.64,14.64,14.64,0.0,12.6074813289,12.6074813289,12.6074813289,12.6074813289,0.0,0.0,1.0
NASDX,2017-06-10 00:00:00+00:00,14.56,14.56,14.56,14.56,0.0,12.5385879883,12.5385879883,12.5385879883,12.5385879883,0.0,0.0,1.0
NASDX,2017-06-11 00:00:00+00:00,14.56,14.56,14.56,14.56,0.0,12.5385879883,12.5385879883,12.5385879883,12.5385879883,0.0,0.0,1.0
NASDX,2017-06-12 00:00:00+00:00,14.56,14.56,14.56,14.56,0.0,12.5385879883,12.5385879883,12.5385879883,12.5385879883,0.0,0.0,1.0
NASDX,2017-06-13 00:00:00+00:00,14.67,14.67,14.67,14.67,0.0,12.6333163316,12.6333163316,12.6333163316,12.6333163316,0.0,0.0,1.0
NASDX,2017-06-14 00:00:00+00:00,14.61,14.61,14.61,14.61,0.0,12.5816463262,12.5816463262,12.5816463262,12.5816463262,0.0,0.0,1.0
NASDX,2017-06-15 00:00:00+00:00,14.55,14.55,14.55,14.55,0.0,12.5299763208,12.5299763208,12.5299763208,12.5299763208,0.0,0.0,1.0
NASDX,2017-06-16 00:00:00+00:00,14.49,14.49,14.49,14.49,0.0,12.4783063153,12.4783063153,12.4783063153,12.4783063153,0.0,0.0,1.0
NASDX,2017-06-17 00:00:00+00:00,14.72,14.72,14.72,14.72,0.0,12.6763746695,12.6763746695,12.6763746695,12.6763746695,0.0,0.0,1.0
NASDX,2017-06-18 00:00:00+00:00,14.72,14.72,14.72,14.72,0.0,12.6763746695,12.6763746695,12.6763746695,12.6763746695,0.0,0.0,1.0
NASDX,2017-06-19 00:00:00+00:00,14.72,14.72,14.72,14.72,0.0,12.6763746695,12.6763746695,12.6763746695,12.6763746695,0.0,0.0,1.0
NASDX,2017-06-20 00:00:00+00:00,14.6,14.6,14.6,14.6,0.0,12.5730346586,12.5730346586,12.5730346586,12.5730346586,0.0,0.0,1.0
NASDX,2017-06-21 00:00:00+00:00,14.75,14.75,14.75,14.75,0.0,12.7022096722,12.7022096722,12.7022096722,12.7022096722,0.0,0.0,1.0
NASDX,2017-06-22 00:00:00+00:00,14.74,14.74,14.74,14.74,0.0,12.6935980047,12.6935980047,12.6935980047,12.6935980047,0.0,0.0,1.0
NASDX,2017-06-23 00:00:00+00:00,14.79,14.79,14.79,14.79,0.0,12.7366563425,12.7366563425,12.7366563425,12.7366563425,0.0,0.0,1.0
NASDX,2017-06-24 00:00:00+00:00,14.74,14.74,14.74,14.74,0.0,12.6935980047,12.6935980047,12.6935980047,12.6935980047,0.0,0.0,1.0
NASDX,2017-06-25 00:00:00+00:00,14.74,14.74,14.74,14.74,0.0,12.6935980047,12.6935980047,12.6935980047,12.6935980047,0.0,0.0,1.0
NASDX,2017-06-26 00:00:00+00:00,14.74,14.74,14.74,14.74,0.0,12.6935980047,12.6935980047,12.6935980047,12.6935980047,0.0,0.0,1.0
NASDX,2017-06-27 00:00:00+00:00,14.47,14.47,14.47,14.47,0.0,12.4610829802,12.4610829802,12.4610829802,12.4610829802,0.0,0.0,1.0
